Gemeentecode;Wijkcode;Regionaam;Gemiddeld persoonlijk inkomen per inwoner (x 1000 euro);40 procent huishoudens met laagste besteedbaar inkomen;20 procent huishoudens met hoogste besteedbaar inkomen
;WK014115;Nieuwstraat-Kwartier;16,4;64,6;3,9
;WK014116;Ossenkoppelerhoek;18,3;58,9;5
;WK014117;Hofkamp;28,1;35,9;25,7
;WK014118;Schelfhorst;22;39,2;12,4
;WK014119;Windmolenbroek;25,7;26,5;23,1
;WK014120;Aadorp;25,5;24,1;27,1
;WK014121;Bornerbroek;26,9;24,4;31,8
GM0147;Totaal;Borne;26,6;31;22,8
;WK014700;Wijk 00 Borne;26,4;31,9;21,9
;WK014701;Wijk 01 Buitengebied Borne;28,2;21,2;32,8
GM0148;Totaal;Dalfsen;25,5;28,3;24,6
;WK014801;Dalfsen;26,5;27,6;26,6
;WK014802;Nieuwleusen;24,3;30,2;21,9
;WK014803;Lemelerveld;24,2;26,9;23,9
GM0150;Totaal;Deventer;25,4;42,4;17,2
;WK015001;Binnenstad;29,8;55,4;12,9
;WK015002;De Hoven;25,9;27,2;22
;WK015003;Zandweerd;24,3;51;11,5
;WK015004;Voorstad;21,9;54;10,7
;WK015005;Borgele en Platvoet;22,7;54,5;10,9
;WK015006;Keizerslanden;21,7;58,6;8,6
;WK015007;Rivierenwijk en Bergweide;20,4;57,1;8,5
;WK015008;Colmschate-Noord;23,2;29,6;13,2
;WK015009;Colmschate-Vijfhoek;27,6;16,8;32,2
;WK015010;Colmschate-Zuid;26,9;30;20,2
;WK015011;Diepenveen;31,6;25,6;33,7
;WK015012;Schalkhaar;28,3;27,1;31
;WK015013;Okkenbroek;24,7;38,9;19,1
;WK015014;Lettele;25,7;26,1;33
;WK015015;Bathmen;28;25,6;28,8
GM0153;Totaal;Enschede;22,6;52,9;12,1
;WK015300;Wijk 00 Binnensingelgebied;23;65,8;8,3
;WK015301;Wijk 01 Hogeland - Velve;23,3;46,5;14,2
;WK015302;Wijk 02 Boswinkel - Stadsveld;21,3;56,1;9,6
;WK015303;Wijk 03 Twekkelerveld - T.H.T.;20,6;60,5;6,8
;WK015304;Wijk 04 Enschede-Noord;22,8;59,2;11,4
;WK015305;Wijk 05 Ribbelt - Stokhorst;25,2;43,7;15,5
;WK015306;Wijk 06 Enschede-Zuid;20,9;48,8;11,7
;WK015307;Wijk 07 Bedrijfsterreinen Enschede-West;24,8;49,7;17
;WK015308;Wijk 08 Glanerbrug en omgeving;22,4;39;15,7
;WK015309;Wijk 09 Landelijk gebied en kernen;28,7;28,4;30,5
GM0158;Totaal;Haaksbergen;25,3;33,5;21,9
;WK015800;Wijk 00 Haaksbergen (dorp);24,8;33,9;19,2
;WK015801;Wijk 01 Haaksbergen (buitengebied);28,3;20,8;37,9
;WK015802;Wijk 02 Sint Isidorushoeve;26,2;21,9;35
;WK015803;Wijk 03 Buurse;25,5;33,8;25,7
;WK015804;Wijk 04 Rietmolen;23,6;.;.
;WK015805;Wijk 05 Hengevelde;26,7;.;.
;WK015806;Wijk 06 Beckum;28,3;.;.
;WK015809;Wijk 09 Haaksbergen-kern;24,3;59,1;10,1
GM0160;Totaal;Hardenberg;23,3;33,4;19,4
;WK016001;Ane;25;20;36,3
;WK016002;Anerveen;30,8;.;.
;WK016003;Anevelde;.;.;.
;WK016004;Balkbrug;24,9;29,3;22,9
;WK016005;Bergentheim;21,5;29,4;21,1
;WK016006;Brucht;24,7;16,8;31,8
;WK016007;Collendoorn;24,6;22,4;35,2
;WK016008;De Krim;21,6;35,3;16,4
;WK016009;Dedemsvaart;23,2;35;17,5
;WK016010;Den Velde;25,7;.;.
;WK016011;Diffelen;26;.;.
;WK016012;Gramsbergen;23,5;35,4;19
;WK016013;Heemserveen;25,6;24,3;29,1
;WK016014;Holtheme;26,6;.;.
;WK016015;Holthone;26,4;.;.
;WK016016;Hoogenweg;25,4;20;32,9
;WK016017;Kloosterhaar;21,5;34,1;16,9
;WK016018;Loozen;29;.;.
;WK016019;Lutten;23,4;24,9;20,4
;WK016020;Marienberg;20,3;23,6;20,8
;WK016021;Radewijk;25,6;21,8;34,1
;WK016022;Rheeze;24,3;.;.
;WK016023;Rheezerveen;22,5;30,1;24,5
;WK016024;Schuinesloot;23,6;22,9;26,9
;WK016025;Sibculo;20,8;29,6;21,7
;WK016026;Slagharen;22,6;37,1;16,7
;WK016027;Venebrugge;25,5;.;.
;WK016028;Hardenberg;23,7;37,2;17
;WK016029;Bruchterveld;23,4;23,4;23,4
GM0163;Totaal;Hellendoorn;24,6;32,3;19,9
;WK016301;Wijk 01 Hellendoorn;24,5;30,7;20,1
;WK016302;Wijk 02 Nijverdal Noord;28;22,6;25,1
;WK016303;Wijk 03 Nijverdal West;25,6;40,9;15,7
;WK016304;Wijk 04 Nijverdal Oost;22,4;38,6;12,5
;WK016305;Wijk 05 Buitengebied;26,4;22,9;36
;WK016306;Wijk 06 Kruidenwijk;24,9;24,3;23,9
;WK016307;Wijk 07 Haarle;23,2;32,3;17
;WK016308;Wijk 08 Daarle;22;20,2;16,9
;WK016309;Wijk 09 Daarlerveen;22,3;32,6;15,2
GM0164;Totaal;Hengelo;25;43,2;15,6
;WK016400;Wijk 00 Binnenstad;28,4;53,4;11,4
;WK016401;Wijk 01 Hengelose Es;23,8;46,4;13,8
;WK016402;Wijk 02 Noord;21,4;54,3;9,2
;WK016403;Wijk 03 Hasseler Es;24,5;31,4;17,2
;WK016404;Wijk 04 Groot Driene;23,3;50,1;12,1
;WK016405;Wijk 05 Berflo Es;22,7;55,7;8
;WK016406;Wijk 06 Wilderinkshoek;25,7;46,4;12,7
;WK016407;Wijk 07 Woolde;26,9;41;16
;WK016408;Wijk 08 Slangenbeek;29,3;18,5;35,6
;WK016409;Wijk 09 Buitengebied;29,5;25;38,5
GM0166;Totaal;Kampen;23,3;36,8;18,1
;WK016600;Kampen;23,3;40,4;15,3
;WK016602;Reeve;.;.;.
;WK016603;IJsselmuiden;23,2;28,5;24
;WK016604;Zalk;23,7;22,2;30,7
;WK016605;Wilsum;23,2;26,8;22,1
;WK016606;Grafhorst;21,9;22,5;29,2
;WK016607;Kamperveen;22,6;19;35,1
;WK016608;s-Heerenbroek;24,4;24,5;33,8
;WK016609;Mastenbroek;28,5;.;.
GM0168;Totaal;Losser;24,2;35,2;19,5
;WK016800;Wijk 00 Losser;24,3;35,9;17,5
;WK016801;Wijk 01 Glane;26,7;29,4;21,1
;WK016802;Wijk 02 Overdinkel;21,4;43,8;13,8
;WK016803;Wijk 03 De Lutte;25,9;26,3;29,6
;WK016804;Wijk 04 Beuningen;25,5;20,6;36,5
GM0171;Totaal;Noordoostpolder;24;35,2;18,8
;WK017101;Wijk 01 Emmeloord;23,2;39,7;15,2
;WK017102;Wijk 02 Bant;26,2;24,7;25
;WK017103;Wijk 03 Luttelgeest;25,7;26,8;26,3
;WK017104;Wijk 04 Marknesse;24,9;32,1;20,9
;WK017105;Wijk 05 Kraggenburg;26,9;26,2;25,6
;WK017106;Wijk 06 Ens;24,1;30,3;22,7
;WK017107;Wijk 07 Nagele;25,4;35,7;22,6
;WK017108;Wijk 08 Tollebeek;23,1;22,4;26,8
;WK017109;Wijk 09 Espel;26,7;27;24,8
;WK017110;Wijk 10 Creil;26;29,4;23,2
;WK017111;Wijk 11 Rutten;24,8;27,6;25,8
;WK017112;Wijk 12 Schokland;.;.;.
GM0173;Totaal;Oldenzaal;25,4;37,2;19
