Gemeentecode;Wijkcode;Regionaam;Gemiddeld persoonlijk inkomen per inwoner (x 1000 euro);40 procent huishoudens met laagste besteedbaar inkomen;20 procent huishoudens met hoogste besteedbaar inkomen
;WK036206;Bankras, Kostverloren;31,6;40,4;21,4
;WK036207;Buitengebied Noord;63,2;19,8;46,3
;WK036208;Keizer Karelpark;31,9;42,3;21,5
;WK036209;Groenelaan;30,1;50,4;14,4
;WK036210;Waardhuizen, Middenhoven;31,9;34;25,2
;WK036211;Bovenkerk - Westwijk Noord;33,4;34,3;29,3
;WK036212;Westwijk Zuid;36,4;16,9;47,8
;WK036213;Buitengebied Zuid;36,6;29,9;36,4
;WK036214;Amsterdamse Bos;32,8;.;.
GM0363;Totaal;Amsterdam;31,3;50,9;17,5
;WK036300;Burgwallen-Oude Zijde;34,5;57,4;12,8
;WK036301;Burgwallen-Nieuwe Zijde;37,4;55;14,8
;WK036302;Grachtengordel-West;62,2;38,3;32,6
;WK036303;Grachtengordel-Zuid;61,3;40,3;29,6
;WK036304;Nieuwmarkt/Lastage;38,5;52,4;17,8
;WK036305;Haarlemmerbuurt;38;49,1;20,2
;WK036306;Jordaan;40,7;54;16,5
;WK036307;De Weteringschans;49,8;44,3;24,6
;WK036308;Weesperbuurt/Plantage;43,1;47;22,9
;WK036309;Oostelijke Eilanden/Kadijken;32,4;52,8;17,2
;WK036310;Westelijk Havengebied;26,5;78,3;7,8
;WK036311;Bedrijventerrein Sloterdijk;28,1;77,6;2,5
;WK036312;Houthavens;48,7;25,5;40,3
;WK036313;Spaarndammer- en Zeeheldenbuurt;28,5;56,9;13
;WK036314;Staatsliedenbuurt;32,5;51,2;15,8
;WK036315;Centrale Markt;32,2;42,7;21,9
;WK036316;Frederik Hendrikbuurt;35,4;51,6;16,9
;WK036317;Da Costabuurt;39,2;47,2;21,5
;WK036318;Kinkerbuurt;36,4;50,4;17,9
;WK036319;Van Lennepbuurt;31,1;57,3;12,2
;WK036320;Helmersbuurt;42,5;45,8;23,5
;WK036321;Overtoomse Sluis;42,3;44,1;24
;WK036322;Vondelbuurt;55,9;43,9;30,4
;WK036323;Zuidas;57;50,7;25,1
;WK036324;Oude Pijp;38,1;52,2;17,7
;WK036325;Nieuwe Pijp;36,6;52,7;17,5
;WK036326;Zuid Pijp;26,2;61,6;10,8
;WK036327;Weesperzijde;40,9;43,6;25,2
;WK036328;Oosterparkbuurt;30,6;56,1;15,2
;WK036329;Dapperbuurt;29,6;57;14,7
;WK036330;Transvaalbuurt;26;56,6;13,8
;WK036331;Indische Buurt West;26,4;54,3;13
;WK036332;Indische Buurt Oost;23,3;58,3;10,6
;WK036333;Oostelijk Havengebied;38,9;31,6;31,2
;WK036334;Zeeburgereiland/Nieuwe Diep;28,7;60,8;13,4
;WK036335;IJburg West;33,6;29,3;36
;WK036336;Sloterdijk;42,5;35,1;27,2
;WK036337;Landlust;26,5;53,3;12,8
;WK036338;Erasmuspark;31,4;43,7;16,4
;WK036339;De Kolenkit;21,8;59,7;10,8
;WK036340;Geuzenbuurt;33,3;47,9;17,3
;WK036341;Van Galenbuurt;26,7;59,2;9,9
;WK036342;Hoofdweg e.o.;28,8;54,7;12,5
;WK036343;Westindische Buurt;35,2;46,2;20,4
;WK036344;Hoofddorppleinbuurt;40;42,6;23,1
;WK036345;Schinkelbuurt;38,8;50,5;18
;WK036346;Willemspark;74,7;27,1;46,1
;WK036347;Museumkwartier;64,1;32,1;38,6
;WK036348;Stadionbuurt;36,7;49,5;20
;WK036349;Apollobuurt;64,9;26,2;48,6
;WK036350;IJburg Oost;.;.;.
;WK036351;IJburg Zuid;31,6;28,9;35,1
;WK036352;Scheldebuurt;41,2;42,2;27,6
;WK036353;IJselbuurt;32;56,2;14
;WK036354;Rijnbuurt;34,2;54,5;15,9
;WK036355;Frankendael;31,2;57,2;16,9
;WK036356;Middenmeer;35,9;46,8;26,5
;WK036357;Betondorp;23,4;65,3;6,3
;WK036358;Omval/Overamstel;37,1;61,8;16,6
;WK036359;Prinses Irenebuurt e.o.;55,5;18,9;42,9
;WK036360;Volewijck;20,2;64,5;7
;WK036361;IJplein/Vogelbuurt;21,8;60,4;9,1
;WK036362;Tuindorp Nieuwendam;23;58,6;10
;WK036363;Tuindorp Buiksloot;21,8;57;10,5
;WK036364;Nieuwendammerdijk/Buiksloterdijk;40,2;15,6;53,3
;WK036365;Tuindorp Oostzaan;23,2;51,7;14,2
;WK036366;Oostzanerwerf;24,4;44,2;17,8
;WK036367;Kadoelen;29,5;29,6;32,2
;WK036368;Waterlandpleinbuurt;20,2;51,3;10,5
;WK036369;Buikslotermeer;21,4;59,6;7,4
;WK036370;Banne Buiksloot;20,9;54,3;12,1
;WK036371;Noordelijke IJ-oevers West;34,7;52,5;22,9
;WK036372;Noordelijke IJ-oevers Oost;29,2;62,6;7,2
;WK036373;Waterland;36;23,9;41,1
;WK036374;Elzenhagen;30,3;31,3;34,7
;WK036375;Chassébuurt;28,8;50,7;17,1
;WK036376;Slotermeer-Noordoost;19,2;60,7;8,6
;WK036377;Slotermeer-Zuidwest;19,7;60;8,9
;WK036378;Geuzenveld;19;54,9;10,8
;WK036379;Eendracht;25;36,3;20,6
;WK036380;Lutkemeer/Ookmeer;27,1;41,6;27,6
;WK036381;Osdorp-Oost;23,1;58,8;10,4
;WK036382;Osdorp-Midden;21,2;52,2;12,8
;WK036383;De Punt;20,8;53,3;9,7
;WK036384;Middelveldsche Akerpolder;28,4;33,2;29,4
;WK036385;Slotervaart Noord;23,8;52,9;15,7
;WK036386;Overtoomse Veld;24,9;50,8;13,5
;WK036387;Westlandgracht;31,6;56,9;14,6
;WK036388;Sloter-/Riekerpolder;31,3;30,6;29,4
;WK036389;Slotervaart Zuid;22,4;61,9;10,3
;WK036390;Buitenveldert-West;38,1;45,5;21,4
;WK036391;Buitenveldert-Oost;34,8;47,9;18,3
;WK036392;Amstel III/Bullewijk;17,6;88,7;2,4
;WK036393;Bijlmer Centrum (D,F,H);19,4;67,9;5,7
;WK036394;Bijlmer Oost (E,G,K);21,7;59,5;9,8
;WK036395;Nellestein;29,5;47;9,1
;WK036396;Holendrecht/Reigersbos;20,9;57,2;8,4
;WK036397;Gein;24;48;13,4
;WK036398;Driemond;28,3;31,4;26,9
GM0373;Totaal;Bergen (NH.);31,5;31,9;26,4
;WK037301;Wijk 01 Bergen Binnen;34,4;32,6;28,4
;WK037302;Wijk 02 Bergen aan Zee;39,4;28,3;35,8
;WK037303;Wijk 03 Buitengebied Bergen;38,4;27,5;41,6
;WK037304;Wijk 04 Egmond aan Zee;27,5;39,1;17
;WK037305;Wijk 05 Egmond-Binnen;27,5;26,1;27
;WK037306;Wijk 06 Egmond aan den Hoef;28,6;25,9;29,1
;WK037307;Wijk 07 Schoorl;31,3;30,6;26
GM0375;Totaal;Beverwijk;26,4;39,9;17,9
;WK037500;Centrum;26;44,8;9,4
;WK037501;Vondelkwartier;32,3;27,3;30,1
;WK037502;Oranjebuurt;23,3;46;13
;WK037503;Kuenenkwartier;23,1;52,6;8,2
;WK037504;Warande;32,8;19,7;34,1
;WK037505;Noordwestelijk tuinbouwgebied;30;15,5;32,1
;WK037506;Oosterwijk en Zwaansmeer;21,2;53;9
;WK037507;Meerestein;24,4;51,4;11
;WK037508;Wijk aan Zee;30,3;37,7;19,5
;WK037509;de Pijp en Wijkerbroek;27;.;.
;WK037510;Broekpolder;28,1;12,5;42,8
GM0376;Totaal;Blaricum;42,2;26,4;37,4
;WK037601;Blaricum;42,2;26,4;37,4
GM0377;Totaal;Bloemendaal;43,5;24,9;43,2
;WK037700;Wijk 00 Bloemendaal;46,1;33,3;38,2
;WK037701;Wijk 01 Overveen;45;19,5;52,4
;WK037702;Wijk 02 Aerdenhout;53,6;12,2;63,3
;WK037703;Wijk 03 Vogelenzang;32,1;32;27,9
;WK037704;Wijk 04 Bennebroek;34,4;24,8;33,3
GM0383;Totaal;Castricum;31;26,7;29,2
;WK038300;Wijk 00 Centrum;32,5;28,9;25,4
;WK038301;Wijk 01 Castricum-Noord;29,3;26,2;24,9
;WK038302;Wijk 02 Castricum-Oost;31,8;28,3;27
;WK038303;Wijk 03 Castricum-Zuid;32,1;22,1;35,6
;WK038304;Wijk 04 Bakkum;34,6;30;37,3
;WK038305;Wijk 05 Akersloot;29;23,6;29,6
;WK038306;Wijk 06 De Woude;30,8;.;.
;WK038307;Wijk 07 Limmen;30;24,3;33,2
GM0384;Totaal;Diemen;28,2;44,6;20,7
;WK038401;Diemen Noord;32,7;32,2;32,1
;WK038402;Diemen Centrum;25,4;51;14,2
;WK038403;Diemen Zuid;26,5;36,2;21,3
;WK038404;Bergwijkpark;.;.;.
;WK038405;Holland Park;25,7;71,9;6,8
;WK038406;Bedrijventerreinen;.;.;.
;WK038407;Plantage de Sniep;37,6;5,6;66,9
;WK038408;Buitengebied;30,8;.;.
GM0385;Totaal;Edam-Volendam;28,4;26,8;30,2
;WK038500;Wijk 00 Edam;28,4;32,8;24,9
;WK038501;Wijk 01 Purmer;28,8;.;.
;WK038502;Wijk 02 Volendam;27,6;25,1;31,8
;WK038503;Wijk 03 Beets;29,9;23,1;28,9
;WK038504;Wijk 04 Oosthuizen;27,5;27,5;27
;WK038505;Wijk 05 Warder;32,4;24;37,2
;WK038506;Wijk 06 Middelie;42,5;27,4;33,7
;WK038507;Wijk 07 Kwadijk;32,8;18,7;35,8
;WK038508;Wijk 08 Schardam;34,2;.;.
;WK038509;Wijk 09 Hobrede;38,2;.;.
GM0388;Totaal;Enkhuizen;25,3;41,1;16,8
;WK038800;Centrum en Havens;27,5;44,3;15,8
;WK038801;Enkhuizen Noord;23,8;38,8;17,2
;WK038802;Enkhuizen Buitengebied;29,9;.;.
;WK038803;Enkhuizen Zuid;27,1;34,6;16,3
;WK038810;Buitengebied IJsselmeer en Markermeer;.;.;.
GM0392;Totaal;Haarlem;30,1;40,3;21,8
;WK039201;Oude Stad;38;44,8;19,6
;WK039202;Haarlemmerhoutkwartier;41,8;32,2;33,3
;WK039203;Zijlwegkwartier;32,4;36,9;23,9
;WK039204;Houtvaartkwartier;31,8;29,2;31,7
;WK039205;Duinwijk;34,8;33,2;32,8
;WK039206;Waarder- en Veerpolder;35,4;30,7;33
;WK039207;Amsterdamsewijk;27,8;48;15,3
;WK039208;Slachthuiswijk;24,1;53,3;10,1
;WK039209;Parkwijk;25,4;45;15,7
;WK039210;Transvaalwijk;29;45,2;17
;WK039211;Indischewijk;27,6;31,6;22,7
;WK039212;Ter Kleefkwartier;34,4;25,5;39,2
;WK039213;Te Zaanenkwartier;32,5;27,1;31,1
;WK039214;Vogelenwijk;28,5;28;29,8
;WK039215;Delftwijk;24,7;51,6;9,4
;WK039216;Vondelkwartier;26;39,6;24,7
;WK039217;Spaarndam;29,5;33,8;26
;WK039218;Europawijk;23,2;52,8;9,2
;WK039219;Boerhaavewijk;21,8;45,7;15,2
;WK039220;Molenwijk;26,9;42,3;15
;WK039221;Meerwijk;19,8;57,5;9,1
GM0394;Totaal;Haarlemmermeer;29,8;28,8;29,1
;WK039401;Hoofddorp;29,4;29,9;27,6
;WK039402;Nieuw-Vennep;29,5;25,4;31,5
;WK039403;Zwanenburg;27,5;33,3;23,9
;WK039404;Lijnden / Boesingheliede;30,6;31,9;27,9
;WK039405;Badhoevedorp;34,1;30,1;32,7
;WK039406;Aalsmeerderbrug/ Oude Meer/ Rozenburg /;29,5;35,4;24,3
;WK039407;Rijsenhout;27,5;34,5;23,6
;WK039408;Burgerveen / Leimuiderbrug / Weteringbru;29;28,3;30,7
;WK039409;Abbenes / Buitenkaag;27,2;28,7;23,9
;WK039410;Lisserbroek;28,3;24,1;31,3
;WK039411;Beinsdorp;30,6;18,9;31,8
;WK039412;Zwaanshoek;31,4;21,1;35
;WK039413;Cruquius;34,2;23,6;36,4
;WK039415;Vijfhuizen;33,2;24;35,9
;WK039416;Schiphol;.;.;.
;WK039420;Spaarndam;30,9;23,8;34,3
;WK039421;Haarlemmerliede;31,6;24,3;32,4
;WK039422;Halfweg;30,5;33,4;27,2
GM0396;Totaal;Heemskerk;27,4;34,3;21,7
;WK039601;Wijk 01 Heemskerk-Dorp;29,3;45,2;11,8
;WK039602;Wijk 02 Commandeurs en Marquette;29,5;25,6;28,5
;WK039603;Wijk 03 Hofland, Oosterwijk en Zuidbroek;23,9;49,4;10,2
;WK039604;Wijk 04 Heemskerkerduin en Noorddorp;31;21,6;39,8
;WK039605;Wijk 05 Poelenburg en Oosterzij;22,1;50,7;9,7
;WK039606;Wijk 06 Noordbroek en De Trompet;29;26,5;25,7
;WK039607;Wijk 07 Kerkbeek;27,8;37,9;13,9
;WK039608;Wijk 08 Assumburg;27,3;35,6;22,8
;WK039609;Wijk 09 Hoogdorp en Waterakkers;29,8;16,5;32,6
;WK039610;Wijk 10 Broekpolder;29,4;16,7;39,9
;WK039611;Wijk 11 Oostelijk Heemskerk;.;.;.
GM0397;Totaal;Heemstede;40,3;28,3;36,7
;WK039700;Wijk 00 Heemstede-Centrum;40,6;28,2;36,8
;WK039701;Wijk 01 Heemstede-Zuid;31,3;31,4;29,8
;WK039702;Wijk 02 Heemstede west van de spoorbaan;53,5;21,4;50
GM0399;Totaal;Heiloo;31,4;29,4;29
;WK039901;Wijk 01 Blockhovepark;40,3;13,1;56,1
;WK039902;Wijk 02 Heiloo Noord-West;35,8;17;38,7
;WK039903;Wijk 03 Heiloo-Midden;31,9;27,2;30,9
;WK039904;Wijk 04 Heiloo-West;29,6;29;24,7
;WK039905;Wijk 05 Stationsomgeving;28,5;33,9;23,1
;WK039906;Wijk 06 Ypestein;31,3;36,5;27,9
;WK039907;Wijk 07 Heiloo-Oost;.;.;.
;WK039908;Wijk 08 Heiloo Zuid-West;33,9;31,7;33,2
GM0400;Totaal;Den Helder;24,9;44,6;12,9
;WK040001;Wijk 01 Stad binnen de Linie-Oost;24;52,5;8,8
;WK040002;Wijk 02 Stad binnen de Linie-West;24,2;46,5;10
;WK040003;Wijk 03 Nieuw Den Helder-West;25,4;50,8;12,8
;WK040004;Wijk 04 Nieuw Den Helder-Oost;22,5;53;11,3
;WK040005;Wijk 05 De Schooten;24,1;50,5;9,6
;WK040006;Wijk 06 Het Koegras;26,8;37,8;22,2
;WK040007;Wijk 07 Duinzoom;34,7;25;26,7
;WK040008;Wijk 08 Julianadorp;27,8;23,2;22,5
GM0402;Totaal;Hilversum;30,9;40,1;22,8
;WK040201;Centrum;30,1;49,6;13,6
;WK040202;Noordwest;50,7;25,9;43,4
;WK040203;Zuidwest;27,7;43,3;18,5
;WK040204;Zuid;31;35,3;26
;WK040205;Zuidoost;37;35,5;32,4
;WK040206;Oost;26,1;41,3;19,6
;WK040207;Noordoost;25,6;48,3;16,2
;WK040208;Hilversumse Meent;27,3;32,2;21,4
;WK040209;Landelijk Gebied;37,2;29,9;34
GM0405;Totaal;Hoorn;26;37,9;18,6
;WK040510;Wijk 10 Binnenstad;32,6;42,8;18,5
;WK040511;Wijk 11 Venenlaan-kwartier;27,1;41;20
;WK040512;Wijk 12 Hoorn-Noord;26;41,8;18,7
;WK040513;Wijk 13 Grote Waal;22,4;43,7;11,4
;WK040520;Wijk 20 Risdam-Zuid;25,3;41,1;15,8
;WK040521;Wijk 21 Risdam-Noord;23,7;40,8;12
;WK040522;Wijk 22 Nieuwe Steen;33,2;14,6;33,8
;WK040530;Wijk 30 Zwaag;25,1;35,6;16,9
;WK040531;Wijk 31 Blokker;27,9;31,2;21,9
;WK040532;Wijk 32 Kersenboogerd-Noord;21;52,9;9
;WK040533;Wijk 33 Kersenboogerd-Zuid;26,6;34,3;23,2
;WK040534;Wijk 34 Hoorn 80;.;.;.
;WK040535;Wijk 35 Bangert en Oosterpolder;27,7;16,8;33,2
;WK040536;Wijk 36 Noord;.;.;.
GM0406;Totaal;Huizen;29,7;34,5;24,7
;WK040600;Wijk 00 Oude Dorp;29,6;35,5;25,5
;WK040601;Wijk 01 Westereng;32,5;27,1;33,1
;WK040602;Wijk 02 Buitenwijken;68,2;8,2;75,2
;WK040603;Wijk 03 Erica en Tafelberg;56,2;8,3;71,7
;WK040604;Wijk 04 Staatslieden en Componistenbuurt;38,7;21,9;46,2
;WK040605;Wijk 05 Havengebied;29,9;30,5;24,5
;WK040606;Wijk 06 Zenderwijk en Bovenweg;25,6;42;19,1
;WK040607;Wijk 07 Stad en Lande;23,9;35,7;17,8
;WK040608;Wijk 08 Huizermaat West en Zuid;26,5;37;17,1
;WK040609;Wijk 09 Huizermaat Noord;27,5;37,4;17,6
;WK040610;Wijk 10 Bijvanck;26,7;39,4;17,2
;WK040611;Wijk 11 Bovenmaten;26,5;41,3;19
;WK040612;Wijk 12 Hogemaat;35,3;18,7;41,3
GM0415;Totaal;Landsmeer;31,6;27,2;32,6
;WK041501;Purmerland;39,2;20,2;37,6
;WK041502;Den Ilp;37,6;23,6;43,5
;WK041503;Landsmeer;30,8;27,8;31,5
GM0417;Totaal;Laren;42,2;28,2;39,5
;WK041703;Laren;42,2;28,2;39,5
GM0420;Totaal;Medemblik;25,7;33,4;22,7
;WK042001;Medemblik;24;40,2;17
;WK042002;Opperdoes;24,2;35,6;22,3
;WK042003;Twisk;28,5;30,2;24,8
;WK042004;Lambertschaag;28,2;.;.
;WK042005;Abbekerk;27;31;21
;WK042006;Sijbekarspel;25,9;25,6;24,5
;WK042007;Benningbroek;28,1;31,5;29,5
;WK042008;Wognum;27,6;26,1;29,6
;WK042009;Zwaagdijk-West;28,2;20,3;34,2
;WK042010;Nibbixwoud;25,3;29,2;24,1
;WK042011;Midwoud;27;35,9;18,9
;WK042012;Oostwoud;28,2;24,5;30,1
;WK042013;Hauwert;27,4;22,3;30,6
;WK042014;Zwaagdijk-Oost;27,4;30,8;30,6
;WK042015;Wervershoof;25,2;35,2;22,2
;WK042016;Andijk;24,9;34,5;21,7
GM0431;Totaal;Oostzaan;29,3;29;30,5
;WK043100;Wijk 00;29,3;29;30,5
GM0432;Totaal;Opmeer;25,7;32;24,5
;WK043200;Wijk 00;25,4;33,6;23,2
;WK043201;Wijk 01;25,8;30,9;24,8
;WK043202;Wijk 02;27,8;25,5;34,2
GM0437;Totaal;Ouder-Amstel;34,5;33,1;31,5
;WK043700;Wijk 00;34,5;33,1;31,5
GM0439;Totaal;Purmerend;26,9;36,1;20,9
;WK043901;Wijk 01 Centrum;28,5;48,8;12,9
;WK043902;Wijk 02 Overwhere;25,2;42,9;12,2
;WK043903;Wijk 03 Wheermolen;21,4;53,8;7,5
;WK043904;Wijk 04 Gors;26,5;34,2;18
;WK043905;Wijk 05 Purmer-Noord;24,4;40,6;14,5
;WK043906;Wijk 06 Purmer-Zuid;29,4;26;30,3
;WK043907;Wijk 07 Weidevenne;28,6;26;32
;WK043908;Beemster;30,3;26,5;33,4
GM0441;Totaal;Schagen;26,6;33,6;22,1
;WK044101;Schagerbrug;28;25;28,9
;WK044102;Schagen (woonkern-Zuid en Buitengebied);27,2;32,6;22,3
;WK044103;Burgerbrug;25,9;32,9;24,1
;WK044104;Sint Maarten;27,7;27,7;26,6
;WK044105;Warmenhuizen;27,6;28,9;28,9
;WK044106;Tuitjenhorn;25,7;33,4;25,5
;WK044107;Waarland;27,7;28,6;30,6
;WK044108;Dirkshorn;27;33,1;22,4
;WK044109;Oudesluis;26,6;29,8;23,3
;WK044110;Schagen (woonkern-Midden);24,9;44;11,6
;WK044111;Petten;26,3;33,2;18,3
;WK044112;Sint Maartensbrug;27,8;25,2;26,8
;WK044113;t Zand;23,7;33,5;21,7
;WK044114;Sint Maartensvlotbrug;25,1;41,5;15,1
;WK044115;Callantsoog;27,2;35,8;19,8
;WK044116;Schagen (woonkern-West en Buitengebied);25,8;31,7;17,7
;WK044117;Schagen (woonkern-Oost en Buitengebied);29,8;27,5;33,2
GM0448;Totaal;Texel;24,9;38,3;17,9
;WK044800;Wijk 00 Het Oude Land en duingebied;24,8;38,7;17,4
;WK044801;Wijk 01 Het Nieuwe Land;25,4;34,5;22,3
GM0450;Totaal;Uitgeest;29,3;25,7;29,6
;WK045000;Wijk 00 Uitgeest;29,3;25,7;29,6
GM0451;Totaal;Uithoorn;29,3;32,2;25,6
;WK045115;Wijk 15 Dorpscentrum;30,3;44,9;17
;WK045125;Wijk 25 Thamerdal;24,2;44,8;15,6
;WK045135;Wijk 35 Zijdelwaard;25,5;40;17,6
;WK045145;Wijk 45 Legmeer;30,8;25,9;27,7
;WK045150;Wijk 50 Langs de Vuurlinie;32,3;16,8;46,5
;WK045155;Wijk 55 Veilinggebied;.;.;.
;WK045165;Wijk 65 Meerwijk;34,4;23,9;36,7
;WK045175;Wijk 75 Bedrijventerrein;28,9;29,1;27,3
;WK045185;Wijk 85 Meerwijk;29,6;26,6;30,9
;WK045190;Wijk 90 Glastuinbouwgebied;27,4;22,2;38,9
;WK045195;Wijk 95 Veenweidegebied;34,7;.;.
GM0453;Totaal;Velsen;27,8;37,5;22,2
;WK045300;Wijk 00 Velsen-Zuid en Driehuis;37,2;16,9;42,7
;WK045301;Wijk 01 IJmuiden-Noord;24,7;42,9;12,9
;WK045302;Wijk 02 IJmuiden-Zuid;24,8;46,5;14,3
;WK045303;Wijk 03 IJmuiden-West;26,1;48,3;12,9
;WK045304;Wijk 04 Zee- en Duinwijk;23,5;50,8;12
;WK045305;Wijk 05 Velsen-Noord;22,3;49,3;12,1
;WK045306;Wijk 06 Santpoort-Noord;32,1;25,4;32,5
;WK045307;Wijk 07 Santpoort-Zuid;39,5;28,2;40,8
;WK045308;Wijk 08 Velserbroek;29;23,7;32,9
;WK045309;Wijk 09 Spaarndammerpolder;30,2;32,8;28,2
GM0457;Totaal;Weesp;30,2;37,5;23,8
;WK045700;Binnenstad;33,6;38,6;24,4
;WK045701;Zuid;30,6;40,4;28
;WK045702;Noord;26,9;50,6;9,8
;WK045703;Hogewey;26,4;43;16,1
;WK045704;Aetsveld;29;27,8;26
;WK045707;Aetsveldsepolder;42,5;16,2;51,8
;WK045708;Oostelijke Vechtoever;31,8;20,3;45,4
;WK045709;Bloemendalerpolder;37,8;8,6;63
GM0473;Totaal;Zandvoort;29,3;42,4;20,2
;WK047301;Zandvoort Noord;24,5;46,4;14,7
;WK047302;Zandvoort Zuid;31,6;40,6;22,6
;WK047303;Bentveld;48,1;26,3;42,3
;WK047304;Buitengebied;.;.;.
GM0479;Totaal;Zaanstad;25,7;39,9;18,4
;WK047911;Wijk 11 Zaandam Zuid;23;47,3;11,9
;WK047912;Wijk 12 Poelenburg;18,3;53,9;10,8
;WK047913;Wijk 13 Pelders- en Hoornseveld;21,3;50,7;12,4
;WK047914;Wijk 14 Rosmolenwijk;24;51,9;10,4
;WK047915;Wijk 15 Kogerveldwijk;22;47,9;9,2
;WK047916;Wijk 16 Zaandam Noord;27,1;36,7;18
;WK047921;Wijk 21 Oude Haven;29;40,9;19,8
;WK047922;Wijk 22 Zaandam West;27,4;41,6;17,3
;WK047923;Wijk 23 Nieuw West;29,3;30,1;26,3
;WK047931;Wijk 31 Oud Koog a/d Zaan;24,6;41,8;14,7
;WK047932;Wijk 32 Westerkoog;29;28;24
;WK047941;Wijk 41 Oud Zaandijk;27,1;47,1;16,2
;WK047942;Wijk 42 Rooswijk;26,6;35,6;25,2
;WK047951;Wijk 51 Wormerveer;24,6;46;11,1
;WK047961;Wijk 61 Krommenie Oost;24,9;49;12,7
;WK047962;Wijk 62 Krommenie West;27;33;23,1
;WK047971;Wijk 71 Assendelft-Zuid;28,3;31,2;24,6
;WK047972;Wijk 72 Assendelft-Noord;27,7;18,8;34,4
;WK047981;Wijk 81 Westzaan;30,9;27,1;31,2
GM0482;Totaal;Alblasserdam;25;35,7;21,7
;WK048201;Wijk 01 Centrum;26,3;34,5;22,3
;WK048202;Wijk 02 Kinderdijk;25,3;36,2;21,8
;WK048203;Wijk 03 Blokweer;24,3;33,5;20,9
;WK048204;Wijk 04 Souburgh;24,1;42,1;21,2
;WK048205;Wijk 05 Bedrijventerrein;21,8;.;.
;WK048206;Wijk 06 Landelijk gebied;35,6;.;.
GM0484;Totaal;Alphen aan den Rijn;28,3;32,4;23,7
;WK048401;Oudshoorn;27,9;30,7;22,6
;WK048402;Ridderveld;25,3;39,7;14,9
;WK048403;Zegersloot;26,3;32,2;18,8
;WK048404;Hoorn;25,7;49,5;11,1
;WK048405;Hoge Zijde;28;37,2;19,5
;WK048406;Lage Zijde;30;30,5;21,6
;WK048407;Steekterpolder;31,9;27,9;34,5
;WK048408;Kerk en Zanen;32,3;22;36,9
;WK048409;Rietveld;.;.;.
;WK048431;Benthuizen;27,2;25,1;29,4
;WK048445;Aarlanderveen;31,8;29,5;35,5
;WK048470;Boskoop;27,7;34,1;25,1
;WK048471;Zwammerdam;29,5;33,4;25,5
;WK048491;Hazerswoude-Dorp;29,2;27,4;31
;WK048494;Hazerswoude-Rijndijk;26,8;31,1;22,4
;WK048496;Koudekerk aan den Rijn;28,6;29,8;27,6
GM0489;Totaal;Barendrecht;30,5;25,2;33,3
;WK048901;Wijk 01 Centrum;25,7;44,6;20,3
;WK048902;Wijk 02 Noord;23,4;47,4;16,5
;WK048903;Wijk 03 Binnenland;27,7;38,9;17,6
;WK048904;Wijk 04 Oranjewijk;34,9;13,8;45,7
;WK048905;Wijk 05 Buitenoord;29,4;28,6;27,3
;WK048906;Wijk 06 Ter Leede;34,4;12,7;48
;WK048907;Wijk 07 Paddewei;25;32,2;21,8
;WK048908;Wijk 08 Molenvliet;29,7;26,8;29,2
;WK048909;Wijk 09 Nieuweland;31,7;21,6;38,8
;WK048910;Wijk 10 Dorpzicht;31,4;9,8;41,2
;WK048911;Wijk 11 Bijdorp;32,6;20,7;44,3
;WK048912;Wijk 12 Smitshoek;30,6;25,3;35
;WK048913;Wijk 13 Voordijk;45;9,5;67,9
;WK048914;Wijk 14 Meerwede;30,1;25;29,6
;WK048915;Wijk 15 Waterkant;31,3;27,7;32,2
;WK048916;Wijk 16 Havenkwartier;34,9;18,6;37,5
;WK048917;Wijk 17 Gaatkensoog;36,6;12,2;45,7
;WK048918;Wijk 18 Riederhoek;30,3;18,9;38,6
;WK048919;Wijk 19 Vrijheidsakker;33;12,1;42,8
;WK048920;Wijk 20 Vrijenburg;27,9;21,6;35,7
;WK048930;Wijk 30 Buitengebied Noord;30,6;.;.
;WK048931;Wijk 31 Buitengebied Zuid;33,4;19,8;40
;WK048950;Wijk 50 Bedrijventerreinen;.;.;.
GM0498;Totaal;Drechterland;26,7;30,2;25,4
;WK049800;Hoogkarspel;25,7;31,8;23
;WK049801;Westwoud;27,2;26,6;28,3
;WK049802;Oosterblokker;29,5;25,6;33,6
;WK049803;Venhuizen;25,6;32,2;23,1
;WK049804;Wijdenes;28,4;27,1;32,8
;WK049805;Schellinkhout;30,7;24,2;26,9
;WK049806;Hem;27,3;32,3;25,7
;WK049807;Oosterleek;35,2;.;.
GM0501;Totaal;Brielle;31,7;28,2;26,8
;WK050100;Wijk 00 Brielle;31,8;30,2;25,7
;WK050101;Wijk 01 Vierpolders;30,7;18,6;30,4
;WK050102;Wijk 02 Zwartewaal;31,5;21,4;31,2
;WK050103;Wijk 03 Recreatiestrook Brielse Maas;.;.;.
GM0502;Totaal;Capelle aan den IJssel;26,8;40,5;18,8
;WK050201;Capelle West en 's Gravenland;31,9;20,6;38,4
;WK050202;Middelwatering West;25,9;40,3;14,2
;WK050203;Middelwatering Oost;23;52,1;10,1
;WK050204;Oostgaarde Zuid;29,5;37;23,2
;WK050205;Oostgaarde Noord;22;52,9;9,4
;WK050206;Schenkel;26,3;46,7;18,9
;WK050207;Schollevaar Zuid;26;41;14,2
;WK050208;Schollevaar Noord;28;37,1;19,1
;WK050209;Rivium;30,1;25,1;41,7
